,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1969-07-01,1029.956,1035.904,4971.349,24491.0,1.231,1031.187,1610.451,608.626,11.138,36.933,16.4,6.0,3.6,101.61999999999999,134933334.0,100.88333333333333,93.48666666666668
1969-10-01,1038.147,1044.164,4947.104,24300.0,3.149,1041.2959999999998,1588.788,620.586,11.346,37.5,16.533,6.0,3.6,93.48666666666668,120200001.33333333,101.61999999999999,94.33
1970-01-01,1051.2,1057.487,4939.759,24204.0,3.514,1054.714,1581.147,631.685,11.429,38.1,16.567,6.0,4.2,94.33,147418517.33333334,93.48666666666668,88.05
1970-04-01,1067.375,1074.012,4946.77,24163.0,5.207,1072.582,1562.764,641.57,11.45,38.633,16.733,6.0,4.8,88.05,122657407.0,94.33,76.92999999999999
1970-07-01,1086.059,1092.643,4992.357,24303.0,4.088,1090.147,1569.37,653.482,11.542,39.033,17.2,6.0,5.2,76.92999999999999,131066666.66666667,88.05,81.29
1970-10-01,1088.608,1094.672,4938.857,23960.0,2.985,1091.5929999999998,1570.101,660.161,11.491,39.6,17.7,5.79,5.8,81.29,138837037.0,76.92999999999999,87.53333333333335
1971-01-01,1135.156,1142.57,5072.996,24535.0,4.57,1139.7259999999999,1547.139,679.186,11.693,39.933,17.933,4.96,5.9,87.53333333333335,153129630.66666666,81.29,97.64666666666666
1971-04-01,1156.271,1164.246,5100.447,24597.0,-0.401,1155.87,1543.584,693.225,11.859,40.3,18.1,4.75,5.9,97.64666666666666,205474073.33333334,87.53333333333335,100.75999999999999
1971-07-01,1177.675,1184.935,5142.422,24723.0,0.236,1177.911,1542.778,705.599,11.968,40.7,18.4,4.96,6.0,100.75999999999999,187505557.0,97.64666666666666,97.65000000000002
1971-10-01,1190.297,1198.025,5154.547,24705.0,-1.92,1188.377,1531.936,721.739,12.129,41.0,18.367,4.84,5.9,97.65000000000002,155274074.0,100.75999999999999,96.77
1972-01-01,1230.609,1238.784,5249.337,25099.0,-3.534,1227.0749999999998,1540.394,738.948,12.486,41.333,18.133,4.5,5.8,96.77,172994446.0,97.65000000000002,105.90333333333332
1972-04-01,1266.369,1274.485,5368.485,25608.0,-4.258,1262.1109999999999,1546.593,757.364,12.726,41.6,18.267,4.5,5.7,105.90333333333332,214703703.66666666,96.77,108.11333333333333
