random_state,Unnamed: 0,R^2,MSE train,MSE test
335,335,0.9955172404291474,2966.848030850933,5030.676228558429
336,336,0.9958265072502508,2938.81646411316,5232.79608777444
337,337,0.9954399132472116,3243.479749849126,4486.407710477132
338,338,0.9958645113354888,2756.911890107004,7171.005148567779
339,339,0.9953195871353168,2932.865345399611,6501.066412372864
340,340,0.9958547795848096,2671.6001216963377,7393.395429303263
341,341,0.995586778660456,3362.6352203919537,3879.8786159938218
342,342,0.9957740385902878,2906.168406165006,6660.826607043651
343,343,0.9956583391049152,3134.694179724919,4209.852248439021
344,344,0.9955908514835802,3177.940751446733,4186.244069634693
345,345,0.9955538967086336,3266.299890288106,4595.538394805988
347,347,0.9953013968094804,3293.528681082603,3579.9781139217616
348,348,0.995769662712472,3064.223144669816,5299.3889161601455
351,351,0.9958023392774088,3034.2422749120115,4588.917761737968
353,353,0.9955823717236992,3088.308432689634,4705.239824992416
354,354,0.996032525197273,2757.9717364768726,8053.717713091716
355,355,0.9953658176031384,3209.442876047609,4007.391811747987
356,356,0.995153360942778,3469.064079393177,3603.7757186153376
357,357,0.9953453322198046,3553.411244891712,2863.9641852038258
358,358,0.9960950204470412,2753.629309712795,6293.072654396957
359,359,0.9952857896132912,3038.2654906275607,7149.996862994629
360,360,0.9959370104119344,3002.2561617120077,4617.665161242561
361,361,0.9958632650537088,2951.1297138980026,5055.931332188759
362,362,0.9958775364702754,2836.893952813346,9324.74036865205
363,363,0.9959452612910316,2892.5627094422352,5296.577720475213
364,364,0.9952509981594326,3448.3973958067786,5058.493790494289
365,365,0.9952542365671476,3305.573255384858,4107.871118482426
366,366,0.994855694028872,3376.89704059018,4201.146028164255
367,367,0.9955321003011814,3065.596328847574,6634.3683833208
369,369,0.9949464403619452,3649.250916424736,2552.9502650510094
370,370,0.9955143124806112,3131.397341267113,5376.251032514672
371,371,0.9957040299240052,3142.90154608744,7557.573180470611
372,372,0.9954702213180692,2962.624291722837,5603.454295171069
373,373,0.994984146608034,3191.036741416933,6408.784917912465
374,374,0.9952723882363764,3200.0445964322985,4352.876030311591
375,375,0.9960099361034872,3044.183088050276,5406.020848582703
377,377,0.995705565408515,3298.941317700629,3474.296508720106
378,378,0.99558225502838,3079.422650068279,5578.058487731088
379,379,0.9955904702834968,3347.203659869889,3493.82053427352
381,381,0.9956012437050068,3299.3895058442977,3941.762324500888
382,382,0.9959718341525524,3155.000355972556,3986.54724913478
383,383,0.9956415904871952,2584.0052149835624,8216.237638881328
